"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"MATERIALIA","2589-1529","2589-1529","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","English","Materials Science, Multidisciplinary"
"MATERIALI PER UNA STORIA DELLA CULTURA GIURIDICA","1120-9607","1120-9607","SOC ED IL MULINO","STRADA MAGGIORE 37, BOLOGNA, ITALY, 40125","Italian","Law"
"MATERIALS ADVANCES","","2633-5409","ROYAL SOC CHEMISTRY","THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE, ENGLAND, CAMBS, CB4 0WF","English","Materials Science, Multidisciplinary"
"MATERIALS FOR RENEWABLE AND SUSTAINABLE ENERGY","2194-1459","2194-1467","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Materials Science, Multidisciplinary"
"MATERIALS LETTERS-X","2590-1508","2590-1508","ELSEVIER","RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX","English","Materials Science, Multidisciplinary | Physics, Applied"
"MATERIALS PERFORMANCE AND CHARACTERIZATION","2379-1365","2165-3992","AMER SOC TESTING MATERIALS","100 BARR HARBOR DR, W CONSHOHOCKEN, USA, PA, 19428-2959","English","Materials Science, Multidisciplinary"
"MATERIALS PHYSICS AND MECHANICS","1605-2730","1605-8119","INST PROBLEMS MECHANICAL ENGINEERING-RUSSIAN ACAD SCIENCES","BOLSHOJ 61, VAS OSTROV, ST PTERSBURG, RUSSIA, 199178","Multi-Language","Materials Science, Multidisciplinary"
"MATERIAUX & TECHNIQUES","0032-6895","1778-3771","EDP SCIENCES S A","17, AVE DU HOGGAR, PA COURTABOEUF, BP 112, LES ULIS CEDEX A, FRANCE, F-91944","French","Materials Science, Multidisciplinary"
"MATERNAL-FETAL MEDICINE","2096-6954","2641-5895","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Obstetrics & Gynecology"
"MATHEMATICA BOHEMICA","0862-7959","2464-7136","INST MATHEMATICS, AS CR","ZITNA 25, PRAHA 1, CZECH REPUBLIC, 115 67","English","Mathematics"
"MATHEMATICAL AND COMPUTATIONAL APPLICATIONS","1300-686X","2297-8747","MDPI","ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052","English","Mathematics, Interdisciplinary Applications"
"MATHEMATICAL AND COMPUTATIONAL FORESTRY & NATURAL-RESOURCE SCIENCES","1946-7664","1946-7664","UNIV GEORGIA","GEORGIA REVIEW, ATHENS, USA, GA, 30602","English","Forestry"
"MATHEMATICAL FOUNDATIONS OF COMPUTING","","2577-8838","AMER INST MATHEMATICAL SCIENCES-AIMS","PO BOX 2604, SPRINGFIELD, United States, MO, 65801-2604","English","Computer Science, Theory & Methods"
